Customer_ID,Transaction_Date,Amount,Merchant_Category,Merchant_ID,Card_Type,Transaction_Type,Country,Is_International,Is_Chip,Is_Pin_Used,Distance_From_Home,Hour_of_Day,Device_Type,Fraud_Flag
77001,2024-05-01 20:43:12,114.35,Fuel,8154,Debit,ATM,USA,1,0,0,4.25,20,Mobile,0
31519,2025-01-31 13:10:05,107.65,Travel,2676,Debit,POS,USA,0,0,0,1.55,13,Mobile,0
68440,2025-02-16 02:48:18,61.47,Entertainment,5165,Debit,ATM,India,0,0,0,5.63,2,Terminal,0
17594,2024-01-22 13:11:42,162.72,Groceries,6241,Credit,Online,USA,0,0,1,1.78,13,Web,0
37921,2024-05-26 16:52:07,29.71,Travel,1866,Platinum,ATM,Australia,0,0,0,2.31,16,Mobile,0
19335,2025-01-10 00:45:28,30.16,Groceries,7879,Debit,ATM,USA,0,0,0,9.34,0,Mobile,0
71224,2024-10-27 02:04:04,59.01,Food,6485,Gold,POS,UK,0,1,1,5.91,2,Web,0
82093,2024-03-28 20:25:58,163.32,Groceries,7426,Gold,POS,USA,0,0,0,21.99,20,Web,0
60017,2024-03-14 20:16:20,19.48,Online Services,2472,Credit,POS,USA,0,1,0,1.08,20,Mobile,0
74107,2025-02-05 16:17:24,58.12,Utilities,4963,Credit,ATM,Germany,0,0,0,5.23,16,Terminal,0
92019,2025-08-13 20:06:03,49.52,Entertainment,1649,Gold,ATM,Singapore,0,0,0,4.21,20,Web,0
38532,2025-05-11 05:50:48,169.53,Food,3330,Gold,ATM,USA,0,0,0,4.75,5,Web,0
94141,2024-02-14 17:50:25,49.3,Entertainment,2337,Debit,Online,Germany,0,1,1,1.2,17,Terminal,0
74905,2024-03-01 11:59:55,260.89,Groceries,1986,Debit,POS,India,0,1,0,1.27,11,Mobile,0
97413,2024-10-05 13:32:10,457.16,Online Services,1972,Debit,ATM,UK,0,1,0,5.35,13,Terminal,0
57604,2024-10-29 09:48:06,36.77,Fuel,8731,Platinum,Online,India,0,1,0,6.29,9,Mobile,0
88371,2025-08-22 04:43:48,111.78,Fuel,6609,Gold,Online,India,0,1,0,3.24,4,Terminal,0
99455,2025-02-27 10:43:09,98.67,Fuel,9638,Platinum,POS,Singapore,0,0,0,7.77,10,Mobile,0
75045,2025-08-19 07:42:32,74.08,Food,4639,Gold,Online,Germany,0,0,0,3.22,7,Web,0
72808,2025-07-27 20:07:19,76.79,Fuel,1129,Credit,Online,Germany,0,1,0,1.48,20,Web,0
18160,2024-04-30 06:30:28,129.69,Entertainment,2365,Platinum,ATM,France,0,1,0,0.96,6,Terminal,0
29361,2024-06-08 22:14:47,78.22,Travel,5615,Debit,POS,UK,0,1,0,1.36,22,Web,0
78686,2025-01-31 15:48:13,57.72,Online Services,9577,Platinum,Online,USA,0,0,0,7.89,15,Mobile,0
51460,2024-09-15 08:24:17,27.61,Fuel,9212,Debit,ATM,USA,0,0,0,8.75,8,Terminal,0
24142,2025-08-31 20:03:13,419.89,Travel,9319,Debit,POS,Singapore,0,0,1,2.72,20,Mobile,0
20359,2024-03-07 08:30:18,143.95,Fuel,8948,Platinum,Online,Singapore,0,0,0,2.27,8,Web,0
50992,2024-08-04 18:09:33,498.6,Utilities,4791,Gold,POS,Germany,0,1,0,1.82,18,Web,0
